sample_id,context_sentence
S0001,Aku tadi aku baru makan jam sebelas malam dan makan ayam goreng.
S0002,Aku tadi aku baru makan setelah jam sepuluh malam lalu minum boba.
S0003,Aku lagi cemas karena besok ada ujian.
S0004,Aku tadi aku makan nasi goreng dalam porsi besar.
S0005,Aku makan mie lalu minum boba.
S0006,Tadi aku baru makan nasi dua porsi jam sebelas malam.
S0007,Hari ini habis lari lima kilometer aku makan nasi dua porsi dan minum es teh manis.
S0008,"Karena banyak tugas, aku baru makan malam jam sebelas sambil minum es teh manis."
S0009,Aku makan ayam bakar dengan sayuran.
S0010,"Hari ini karena begadang, pagi ini aku minum kopi manis."
S0011,Aku baru makan malam jam sebelas.
S0012,Barusan aku lagi kepikiran tugas yang belum selesai.
S0013,"Karena kurang tidur, tadi makan siangku ayam goreng."
S0014,Aku tadi aku minum es teh manis.
S0015,Hari ini aku baru tidur sekitar jam tiga pagi.
S0016,Barusan tadi makan nasi goreng dan minum kopi susu.
S0017,Hari ini aku makan porsi jumbo dan minum es teh manis.
S0018,Aku tadi tadi makan nasi satu porsi dengan lauk biasa.
S0019,Tadi hari ini cukup bikin stres karena kerjaan numpuk.
S0020,Hari ini aku makan nasi goreng dalam porsi besar.
S0021,Barusan aku lagi cemas karena besok ada ujian.
S0022,"Hari ini karena deadline numpuk, tadi malam aku tidur sangat sedikit."
S0023,Tadi tadi malam cuma tidur sebentar lalu pagi ini minum kopi susu.
S0024,Tadi tadi makan nasi goreng dan minum kopi susu.
S0025,Tadi habis olahraga aku makan ayam goreng.
S0026,Barusan hari ini cukup bikin stres karena kerjaan numpuk.
S0027,"Aku tadi habis gym satu jam, aku makan nasi dua porsi."
S0028,Aku tadi aku kurang tidur semalam.
S0029,Tadi aku minum boba setelah makan.
S0030,Tadi tadi habis olahraga cukup berat lalu makan dua porsi.
S0031,Aku tadi aku makan ayam goreng.
S0032,Tadi tadi makan malam larut dengan ayam goreng.
S0033,"Semalam begadang karena deadline, lalu siang makan ayam goreng dua porsi."
S0034,Tadi tadi makan malam hampir tengah malam.
S0035,Hari ini lagi banyak pikiran gara-gara deadline.
S0036,Hari ini aku makan mie dan nasi setelah jam sepuluh malam.
S0037,Tadi aku makan porsi jumbo dan minum es teh manis.
S0038,Hari ini aku baru makan jam sebelas malam dan makan ayam goreng.
S0039,"Karena deadline numpuk, tadi malam aku tidur sangat sedikit."
S0040,Tadi aku makan sup ayam.
S0041,"Hari ini karena kerjaan numpuk, makan malamku jadi hampir tengah malam."
S0042,Aku tadi aku habis gym sekitar satu jam.
S0043,"Barusan karena kerjaan numpuk, makan malamku jadi hampir tengah malam."
S0044,"Hari ini setelah gym, aku makan nasi dan mie."
S0045,"Aku tadi semalam kurang tidur, jadi tadi pagi aku minum kopi susu."
S0046,Aku makan ayam goreng sampai dua porsi.
S0047,Aku kurang tidur semalam.
S0048,"Barusan semalam kurang tidur, siang makan nasi goreng porsi jumbo dan minum kopi susu."
S0049,Tadi tadi makan mie dan nasi bersamaan.
S0050,Tidurku semalam kurang dari lima jam.
S0051,Aku makan dalam porsi yang cukup besar.
S0052,Semalam begadang dan siang ini aku makan ayam goreng.
S0053,Banyak tugas bikin aku stres dan akhirnya tidur larut.
S0054,Barusan tadi makan nasi goreng cukup larut.
S0055,Hari ini tadi aku makan sup ayam.
S0056,Hari ini aku baru makan nasi dua porsi jam sebelas malam.
S0057,Aku lagi stres karena deadline dan baru makan malam larut.
S0058,Barusan aku makan nasi dua porsi.
S0059,Tadi aku baru makan jam sebelas malam dan makan ayam goreng.
S0060,Barusan tadi minum kopi susu.
S0061,Hari ini aku makan nasi goreng dan ayam goreng.
S0062,Tadi aku baru tidur sekitar jam tiga pagi.
S0063,"Aku tadi setelah jogging, aku makan dalam porsi besar."
S0064,"Hari ini semalam kurang tidur, siang makan nasi goreng porsi jumbo dan minum kopi susu."
S0065,"Tadi setelah jogging, aku makan dalam porsi besar."
S0066,Barusan aku makan dalam porsi yang cukup besar.
S0067,Tadi tadi makan dua porsi lalu minum kopi susu.
S0068,Hari ini tadi makan tempe goreng.
S0069,Aku tadi aku baru makan nasi dua porsi jam sebelas malam.
S0070,Hari ini aku makan nasi dua porsi.
S0071,"Semalam kurang tidur, siang makan nasi goreng porsi jumbo dan minum kopi susu."
S0072,Aku tadi habis gym aku makan ayam goreng.
S0073,Aku tadi tadi siang aku makan nasi dan sayur.
S0074,Semalam aku cuma tidur empat jam.
S0075,Aku tadi aku minum boba setelah makan.
S0076,Aku tadi tadi makannya porsi jumbo.
S0077,Tadi siang minum thai tea.
S0078,Hari ini aku lagi stres karena banyak tugas.
S0079,Hari ini aku kepikiran pekerjaan sampai begadang semalam.
S0080,"Aku tadi semalam aku begadang karena banyak tugas, jadi tidur cuma empat jam."
S0081,Tadi siang aku makan nasi dan sayur.
S0082,Tadi habis gym aku makan nasi dua porsi dengan ayam goreng.
